timestamp,presion,delta_presion,intervalo_ms,bomba,estadoProceso,tiempoEncendido,etiqueta,lectura_valida
2026-05-17T16:10:31.921Z,3.0423,0.0043,3063,true,Monitor: Bomba ON (override),0,reposo_bomba_on,true
2026-05-17T16:10:34.883Z,3.0380,-0.0043,2962,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:10:37.883Z,3.0250,-0.0129,3000,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:10:40.840Z,3.0164,-0.0086,2957,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:10:43.912Z,3.0207,0.0043,3072,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:10:46.861Z,3.0380,0.0172,2949,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:10:49.926Z,3.0638,0.0259,3065,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:10:52.878Z,3.0897,0.0259,2952,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:10:55.840Z,3.0724,-0.0172,2962,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:10:58.900Z,2.4605,-0.6119,3060,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:11:01.856Z,2.1847,-0.2758,2956,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:11:04.916Z,2.1503,-0.0345,3060,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:11:07.881Z,2.1330,-0.0172,2965,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:11:10.834Z,2.0856,-0.0474,2953,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:11:13.895Z,2.0770,-0.0086,3061,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:11:16.855Z,2.0598,-0.0172,2960,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:11:19.839Z,2.0124,-0.0474,2984,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:11:22.897Z,2.0124,0.0000,3058,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:11:25.857Z,2.0468,0.0345,2960,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:11:28.914Z,2.0813,0.0345,3057,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:11:31.876Z,2.0727,-0.0086,2962,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:11:34.836Z,2.0339,-0.0388,2960,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:11:37.895Z,1.9951,-0.0388,3059,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:11:40.855Z,2.0210,0.0259,2960,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:11:43.915Z,2.0425,0.0215,3060,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:11:46.876Z,2.0684,0.0259,2961,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:11:49.839Z,2.0856,0.0172,2963,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:11:52.895Z,2.0899,0.0043,3056,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:11:55.855Z,2.0899,0.0000,2960,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:11:58.860Z,2.0899,0.0000,3005,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:12:01.912Z,2.0856,-0.0043,3052,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:12:04.875Z,2.0856,0.0000,2963,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:12:07.832Z,2.0899,0.0043,2957,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:12:10.892Z,2.0899,0.0000,3060,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:12:13.853Z,2.0468,-0.0431,2961,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:12:16.908Z,2.0210,-0.0259,3055,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:12:19.851Z,1.9908,-0.0302,2943,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:12:22.907Z,1.9994,0.0086,3056,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:12:25.871Z,2.0296,0.0302,2964,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:12:28.844Z,2.0425,0.0129,2973,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:12:31.917Z,2.0727,0.0302,3073,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:12:34.906Z,2.0856,0.0129,2989,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:12:37.911Z,2.0641,-0.0215,3005,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:12:40.865Z,2.0555,-0.0086,2954,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:12:43.827Z,2.0296,-0.0259,2962,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:12:46.887Z,1.9865,-0.0431,3060,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:12:49.845Z,1.9779,-0.0086,2958,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:12:52.912Z,2.0253,0.0474,3067,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:12:55.873Z,2.0512,0.0259,2961,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:12:58.850Z,2.0813,0.0302,2977,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:13:01.903Z,2.0382,-0.0431,3053,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:13:04.870Z,2.0081,-0.0302,2967,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:13:07.823Z,1.9822,-0.0259,2953,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:13:10.880Z,1.9994,0.0172,3057,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:13:13.848Z,2.0253,0.0259,2968,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:13:16.905Z,2.0382,0.0129,3057,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:13:19.906Z,2.0684,0.0302,3001,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:13:22.863Z,2.0813,0.0129,2957,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
